Precell 	pstcell 	 Synapse 
NULLobject	GranuleCell[0]	Exp2Syn[0]
NULLobject	GranuleCell[0]	Exp2Syn[1]
NULLobject	GranuleCell[1]	Exp2Syn[9]
NULLobject	GranuleCell[1]	Exp2Syn[10]
NULLobject	GranuleCell[2]	Exp2Syn[18]
NULLobject	GranuleCell[2]	Exp2Syn[19]
NULLobject	GranuleCell[3]	Exp2Syn[27]
NULLobject	GranuleCell[3]	Exp2Syn[28]
NULLobject	GranuleCell[4]	Exp2Syn[36]
NULLobject	GranuleCell[4]	Exp2Syn[37]
NULLobject	GranuleCell[5]	Exp2Syn[45]
NULLobject	GranuleCell[5]	Exp2Syn[46]
NULLobject	GranuleCell[6]	Exp2Syn[54]
NULLobject	GranuleCell[6]	Exp2Syn[55]
NULLobject	GranuleCell[7]	Exp2Syn[63]
NULLobject	GranuleCell[7]	Exp2Syn[64]
NULLobject	GranuleCell[8]	Exp2Syn[72]
NULLobject	GranuleCell[8]	Exp2Syn[73]
NULLobject	GranuleCell[9]	Exp2Syn[81]
NULLobject	GranuleCell[9]	Exp2Syn[82]
NULLobject	GranuleCell[10]	Exp2Syn[90]
NULLobject	GranuleCell[10]	Exp2Syn[91]
NULLobject	GranuleCell[11]	Exp2Syn[99]
NULLobject	GranuleCell[11]	Exp2Syn[100]
NULLobject	GranuleCell[12]	Exp2Syn[108]
NULLobject	GranuleCell[12]	Exp2Syn[109]
NULLobject	GranuleCell[13]	Exp2Syn[117]
NULLobject	GranuleCell[13]	Exp2Syn[118]
NULLobject	GranuleCell[14]	Exp2Syn[126]
NULLobject	GranuleCell[14]	Exp2Syn[127]
NULLobject	GranuleCell[15]	Exp2Syn[135]
NULLobject	GranuleCell[15]	Exp2Syn[136]
NULLobject	GranuleCell[16]	Exp2Syn[144]
NULLobject	GranuleCell[16]	Exp2Syn[145]
NULLobject	GranuleCell[17]	Exp2Syn[153]
NULLobject	GranuleCell[17]	Exp2Syn[154]
NULLobject	GranuleCell[18]	Exp2Syn[162]
NULLobject	GranuleCell[18]	Exp2Syn[163]
NULLobject	GranuleCell[19]	Exp2Syn[171]
NULLobject	GranuleCell[19]	Exp2Syn[172]
NULLobject	GranuleCell[20]	Exp2Syn[180]
NULLobject	GranuleCell[20]	Exp2Syn[181]
NULLobject	GranuleCell[21]	Exp2Syn[189]
NULLobject	GranuleCell[21]	Exp2Syn[190]
NULLobject	GranuleCell[22]	Exp2Syn[198]
NULLobject	GranuleCell[22]	Exp2Syn[199]
NULLobject	GranuleCell[23]	Exp2Syn[207]
NULLobject	GranuleCell[23]	Exp2Syn[208]
NULLobject	GranuleCell[24]	Exp2Syn[216]
NULLobject	GranuleCell[24]	Exp2Syn[217]
NULLobject	GranuleCell[25]	Exp2Syn[225]
NULLobject	GranuleCell[25]	Exp2Syn[226]
NULLobject	GranuleCell[26]	Exp2Syn[234]
NULLobject	GranuleCell[26]	Exp2Syn[235]
NULLobject	GranuleCell[27]	Exp2Syn[243]
NULLobject	GranuleCell[27]	Exp2Syn[244]
NULLobject	GranuleCell[28]	Exp2Syn[252]
NULLobject	GranuleCell[28]	Exp2Syn[253]
NULLobject	GranuleCell[29]	Exp2Syn[261]
NULLobject	GranuleCell[29]	Exp2Syn[262]
NULLobject	GranuleCell[30]	Exp2Syn[270]
NULLobject	GranuleCell[30]	Exp2Syn[271]
NULLobject	GranuleCell[31]	Exp2Syn[279]
NULLobject	GranuleCell[31]	Exp2Syn[280]
NULLobject	GranuleCell[32]	Exp2Syn[288]
NULLobject	GranuleCell[32]	Exp2Syn[289]
NULLobject	GranuleCell[33]	Exp2Syn[297]
NULLobject	GranuleCell[33]	Exp2Syn[298]
NULLobject	GranuleCell[34]	Exp2Syn[306]
NULLobject	GranuleCell[34]	Exp2Syn[307]
NULLobject	GranuleCell[35]	Exp2Syn[315]
NULLobject	GranuleCell[35]	Exp2Syn[316]
NULLobject	GranuleCell[36]	Exp2Syn[324]
NULLobject	GranuleCell[36]	Exp2Syn[325]
NULLobject	GranuleCell[37]	Exp2Syn[333]
NULLobject	GranuleCell[37]	Exp2Syn[334]
NULLobject	GranuleCell[38]	Exp2Syn[342]
NULLobject	GranuleCell[38]	Exp2Syn[343]
NULLobject	GranuleCell[39]	Exp2Syn[351]
NULLobject	GranuleCell[39]	Exp2Syn[352]
NULLobject	GranuleCell[40]	Exp2Syn[360]
NULLobject	GranuleCell[40]	Exp2Syn[361]
NULLobject	GranuleCell[41]	Exp2Syn[369]
NULLobject	GranuleCell[41]	Exp2Syn[370]
NULLobject	GranuleCell[42]	Exp2Syn[378]
NULLobject	GranuleCell[42]	Exp2Syn[379]
NULLobject	GranuleCell[43]	Exp2Syn[387]
NULLobject	GranuleCell[43]	Exp2Syn[388]
NULLobject	GranuleCell[44]	Exp2Syn[396]
NULLobject	GranuleCell[44]	Exp2Syn[397]
